paper_id,openalex_id,title,publication_year,journal,pdf_url,local_target
609,W4389391124,Organ aging signatures in the plasma proteome track health and disease,2023,Nature,https://www.nature.com/articles/s41586-023-06802-1.pdf,data/pdfs/W4389391124.pdf
72,W3217122335,Amyloid-Related Imaging Abnormalities in 2 Phase 3 Studies Evaluating Aducanumab in Patients With Early Alzheimer Disease,2021,JAMA Neurology,https://jamanetwork.com/journals/jamaneurology/articlepdf/2786606/jamaneurology_salloway_2021_oi_210073_1641404428.53594.pdf,data/pdfs/W3217122335.pdf
165,W4210493947,Hippocampus and its involvement in Alzheimer’s disease: a review,2022,3 Biotech,https://link.springer.com/content/pdf/10.1007/s13205-022-03123-4.pdf,data/pdfs/W4210493947.pdf
240,W2995495466,A multi-model deep convolutional neural network for automatic hippocampus segmentation and classification in Alzheimer’s disease,2019,NeuroImage,https://www.sciencedirect.com/science/article/pii/S105381191931050X/pdf,data/pdfs/W2995495466.pdf
141,W2837320447,Brain-wide glymphatic enhancement and clearance in humans assessed with MRI,2018,JCI Insight,http://insight.jci.org/articles/view/121537/files/pdf,data/pdfs/W2837320447.pdf
799,W2946423464,An update on genetic frontotemporal dementia,2019,Journal of Neurology,https://link.springer.com/content/pdf/10.1007/s00415-019-09363-4.pdf,data/pdfs/W2946423464.pdf
78,W2784429314,Brain and blood metabolite signatures of pathology and progression in Alzheimer disease: A targeted metabolomics study,2018,PLoS Medicine,https://journals.plos.org/plosmedicine/article/file?id=10.1371/journal.pmed.1002482&type=printable,data/pdfs/W2784429314.pdf
82,W2892120842,Discriminative Accuracy of [ 18 F]flortaucipir Positron Emission Tomography for Alzheimer Disease vs Other Neurodegenerative Disorders,2018,JAMA,https://jamanetwork.com/journals/jama/articlepdf/2702872/jama_ossenkoppele_2018_pc_180007.pdf,data/pdfs/W2892120842.pdf
248,W3023079706,Development and validation of an interpretable deep learning framework for Alzheimer’s disease classification,2020,Brain,https://academic.oup.com/brain/article-pdf/143/6/1920/33446057/awaa137.pdf,data/pdfs/W3023079706.pdf
106,W2805494981,Brain MRI analysis for Alzheimer’s disease diagnosis using an ensemble system of deep convolutional neural networks,2018,Brain Informatics,https://braininformatics.springeropen.com/track/pdf/10.1186/s40708-018-0080-3,data/pdfs/W2805494981.pdf
250,W2909533222,A Review on a Deep Learning Perspective in Brain Cancer Classification,2019,Cancers,https://www.mdpi.com/2072-6694/11/1/111/pdf?version=1547824359,data/pdfs/W2909533222.pdf
498,W2936365596,White matter hyperintensities in vascular contributions to cognitive impairment and dementia (VCID): Knowledge gaps and opportunities,2019,Alzheimer s & Dementia Translational Research & Clinical Interventions,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.trci.2019.02.001,data/pdfs/W2936365596.pdf
97,W2883737562,Assessing Synaptic Density in Alzheimer Disease With Synaptic Vesicle Glycoprotein 2A Positron Emission Tomographic Imaging,2018,JAMA Neurology,https://jamanetwork.com/journals/jamaneurology/articlepdf/2687472/jamaneurology_chen_2018_oi_180044.pdf,data/pdfs/W2883737562.pdf
75,W3006513902,Biological subtypes of Alzheimer disease,2020,Neurology,https://n.neurology.org/content/neurology/94/10/436.full.pdf,data/pdfs/W3006513902.pdf
255,W2914209001,Predicting Alzheimer’s disease progression using multi-modal deep learning approach,2019,Scientific Reports,https://www.nature.com/articles/s41598-018-37769-z.pdf,data/pdfs/W2914209001.pdf
123,W2900386946,Convolutional Neural Networks-Based MRI Image Analysis for the Alzheimer’s Disease Prediction From Mild Cognitive Impairment,2018,Frontiers in Neuroscience,https://www.frontiersin.org/articles/10.3389/fnins.2018.00777/pdf,data/pdfs/W2900386946.pdf
519,W3109863006,Frequent neurocognitive deficits after recovery from mild COVID-19,2020,Brain Communications,https://academic.oup.com/braincomms/article-pdf/2/2/fcaa205/38696611/fcaa205.pdf,data/pdfs/W3109863006.pdf
85,W2906702113,Assessment of Racial Disparities in Biomarkers for Alzheimer Disease,2019,JAMA Neurology,https://jamanetwork.com/journals/jamaneurology/articlepdf/2719700/jamaneurology_morris_2019_oi_180096.pdf,data/pdfs/W2906702113.pdf
606,W2895258853,Systematic Review on Resting-State EEG for Alzheimer’s Disease Diagnosis and Progression Assessment,2018,Disease Markers,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1155/2018/5174815,data/pdfs/W2895258853.pdf
90,W3173195087,DEMNET: A Deep Learning Model for Early Diagnosis of Alzheimer Diseases and Dementia From MR Images,2021,IEEE Access,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09459692.pdf,data/pdfs/W3173195087.pdf
253,W3210926952,Deep Learning Approach for Early Detection of Alzheimer’s Disease,2021,Cognitive Computation,https://link.springer.com/content/pdf/10.1007/s12559-021-09946-2.pdf,data/pdfs/W3210926952.pdf
458,W4393992045,Interpreting artificial intelligence models: a systematic review on the application of LIME and SHAP in Alzheimer’s disease detection,2024,Brain Informatics,https://braininformatics.springeropen.com/counter/pdf/10.1186/s40708-024-00222-1,data/pdfs/W4393992045.pdf
663,W2964104722,Locus coeruleus imaging as a biomarker for noradrenergic dysfunction in neurodegenerative diseases,2019,Brain,https://academic.oup.com/brain/article-pdf/142/9/2558/29222535/awz193.pdf,data/pdfs/W2964104722.pdf
234,W2887293045,Magnetic resonance imaging in Alzheimer’s disease and mild cognitive impairment,2018,Journal of Neurology,https://link.springer.com/content/pdf/10.1007/s00415-018-9016-3.pdf,data/pdfs/W2887293045.pdf
195,W2762081760,Multimodal and Multiscale Deep Neural Networks for the Early Diagnosis of Alzheimer’s Disease using structural MR and FDG-PET images,2018,Scientific Reports,https://www.nature.com/articles/s41598-018-22871-z.pdf,data/pdfs/W2762081760.pdf
104,W3035782677,"Safety, Efficacy, and Feasibility of Intranasal Insulin for the Treatment of Mild Cognitive Impairment and Alzheimer Disease Dementia",2020,JAMA Neurology,https://jamanetwork.com/journals/jamaneurology/articlepdf/2767376/jamaneurology_craft_2020_oi_200040_1598965184.79141.pdf,data/pdfs/W3035782677.pdf
58,W4296343725,Association of MRI Indices of Glymphatic System With Amyloid Deposition and Cognition in Mild Cognitive Impairment and Alzheimer Disease,2022,Neurology,https://n.neurology.org/content/neurology/99/24/e2648.full.pdf,data/pdfs/W4296343725.pdf
77,W2883326166,CSF biomarkers of neuroinflammation and cerebrovascular dysfunction in early Alzheimer disease,2018,Neurology,https://n.neurology.org/content/neurology/91/9/e867.full.pdf,data/pdfs/W2883326166.pdf
803,W3015813913,Noninvasive hippocampal blood−brain barrier opening in Alzheimer’s disease with focused ultrasound,2020,Proceedings of the National Academy of Sciences,https://www.pnas.org/content/pnas/117/17/9180.full.pdf,data/pdfs/W3015813913.pdf
626,W3092650901,Longitudinal plasma p-tau217 is increased in early stages of Alzheimer’s disease,2020,Brain,https://academic.oup.com/brain/article-pdf/143/11/3234/36134842/awaa286.pdf,data/pdfs/W3092650901.pdf
617,W2884781986,Classification and Prediction of Brain Disorders Using Functional Connectivity: Promising but Challenging,2018,Frontiers in Neuroscience,https://www.frontiersin.org/articles/10.3389/fnins.2018.00525/pdf,data/pdfs/W2884781986.pdf
594,W3125069671,A multilayer multimodal detection and prediction model based on explainable artificial intelligence for Alzheimer’s disease,2021,Scientific Reports,https://www.nature.com/articles/s41598-021-82098-3.pdf,data/pdfs/W3125069671.pdf
507,W3158545443,Pro-inflammatory interleukin-6 signaling links cognitive impairments and peripheral metabolic alterations in Alzheimer’s disease,2021,Translational Psychiatry,https://www.nature.com/articles/s41398-021-01349-z.pdf,data/pdfs/W3158545443.pdf
889,W3000313970,Functional brain architecture is associated with the rate of tau accumulation in Alzheimer’s disease,2020,Nature Communications,https://www.nature.com/articles/s41467-019-14159-1.pdf,data/pdfs/W3000313970.pdf
492,W2790545717,Altered bile acid profile in mild cognitive impairment and Alzheimer's disease: Relationship to neuroimaging and CSF biomarkers,2018,Alzheimer s & Dementia,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.jalz.2018.08.012,data/pdfs/W2790545717.pdf
327,W4205241347,Amelioration of Alzheimer’s disease pathology by mitophagy inducers identified via machine learning and a cross-species workflow,2022,Nature Biomedical Engineering,https://www.nature.com/articles/s41551-021-00819-5.pdf,data/pdfs/W4205241347.pdf
241,W2958717882,Functional and/or structural brain changes in response to resistance exercises and resistance training lead to cognitive improvements – a systematic review,2019,European Review of Aging and Physical Activity,https://eurapa.biomedcentral.com/track/pdf/10.1186/s11556-019-0217-2,data/pdfs/W2958717882.pdf
520,W4384665281,Trial of the MIND Diet for Prevention of Cognitive Decline in Older Persons,2023,New England Journal of Medicine,https://pmc.ncbi.nlm.nih.gov/articles/PMC10513737/pdf/nihms-1925840.pdf,data/pdfs/W4384665281.pdf
177,W2907477685,Associations between vascular risk factors and brain MRI indices in UK Biobank,2019,European Heart Journal,https://academic.oup.com/eurheartj/article-pdf/40/28/2290/28968838/ehz100.pdf,data/pdfs/W2907477685.pdf
902,W3038220767,Longitudinal ComBat: A method for harmonizing longitudinal multi-scanner imaging data,2020,NeuroImage,https://www.sciencedirect.com/science/article/pii/S1053811920306157/pdf,data/pdfs/W3038220767.pdf
83,W2910556588,"Associations between tau, Aβ, and cortical thickness with cognition in Alzheimer disease",2019,Neurology,https://n.neurology.org/content/neurology/92/6/e601.full.pdf,data/pdfs/W2910556588.pdf
294,W2993219936,Classification and Visualization of Alzheimer’s Disease using Volumetric Convolutional Neural Network and Transfer Learning,2019,Scientific Reports,https://www.nature.com/articles/s41598-019-54548-6.pdf,data/pdfs/W2993219936.pdf
296,W3025729836,Early Detection of Alzheimer’s Disease Using Magnetic Resonance Imaging: A Novel Approach Combining Convolutional Neural Networks and Ensemble Learning,2020,Frontiers in Neuroscience,https://www.frontiersin.org/articles/10.3389/fnins.2020.00259/pdf,data/pdfs/W3025729836.pdf
81,W3174860908,Accuracy of Tau Positron Emission Tomography as a Prognostic Marker in Preclinical and Prodromal Alzheimer Disease,2021,JAMA Neurology,https://jamanetwork.com/journals/jamaneurology/articlepdf/2781465/jamaneurology_ossenkoppele_2021_oi_210030_1628705008.40748.pdf,data/pdfs/W3174860908.pdf
627,W4383906895,Pathophysiology and probable etiology of cerebral small vessel disease in vascular dementia and Alzheimer’s disease,2023,Molecular Neurodegeneration,https://molecularneurodegeneration.biomedcentral.com/counter/pdf/10.1186/s13024-023-00640-5,data/pdfs/W4383906895.pdf
145,W2956993163,Layer-Wise Relevance Propagation for Explaining Deep Neural Network Decisions in MRI-Based Alzheimer's Disease Classification,2019,Frontiers in Aging Neuroscience,https://www.frontiersin.org/articles/10.3389/fnagi.2019.00194/pdf,data/pdfs/W2956993163.pdf
325,W2886445457,Machine learning of neuroimaging for assisted diagnosis of cognitive impairment and dementia: A systematic review,2018,Alzheimer s & Dementia Diagnosis Assessment & Disease Monitoring,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1016/j.dadm.2018.07.004,data/pdfs/W2886445457.pdf
623,W2955418937,Neuroimaging Biomarkers for Alzheimer’s Disease,2019,Molecular Neurodegeneration,https://molecularneurodegeneration.biomedcentral.com/track/pdf/10.1186/s13024-019-0325-5,data/pdfs/W2955418937.pdf
305,W3202902530,Machine learning methods for predicting progression from mild cognitive impairment to Alzheimer’s disease dementia: a systematic review,2021,Alzheimer s Research & Therapy,https://alzres.biomedcentral.com/track/pdf/10.1186/s13195-021-00900-w,data/pdfs/W3202902530.pdf
328,W3107095885,A comparison of machine learning methods for survival analysis of high-dimensional clinical data for dementia prediction,2020,Scientific Reports,https://www.nature.com/articles/s41598-020-77220-w.pdf,data/pdfs/W3107095885.pdf
80,W2887375324,"Influence of tau PET, amyloid PET, and hippocampal volume on cognition in Alzheimer disease",2018,Neurology,https://n.neurology.org/content/neurology/91/9/e859.full.pdf,data/pdfs/W2887375324.pdf
320,W2894776090,"Cerebral Small Vessel Disease: A Review Focusing on Pathophysiology, Biomarkers, and Machine Learning Strategies",2018,Journal of Stroke,http://www.j-stroke.org/upload/pdf/jos-2017-02922.pdf,data/pdfs/W2894776090.pdf
256,W3133909080,Machine Learning and Deep Learning Approaches for Brain Disease Diagnosis: Principles and Recent Advances,2021,IEEE Access,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09363896.pdf,data/pdfs/W3133909080.pdf
258,W2942882625,Deep Learning Framework for Alzheimer’s Disease Diagnosis via 3D-CNN and FSBi-LSTM,2019,IEEE Access,https://ieeexplore.ieee.org/ielx7/6287639/8600701/08703035.pdf,data/pdfs/W2942882625.pdf
779,W2995524996,Association of Apolipoprotein E ε4 With Medial Temporal Tau Independent of Amyloid-β,2019,JAMA Neurology,https://jamanetwork.com/journals/jamaneurology/articlepdf/2757605/jamaneurology_therriault_2019_oi_190102.pdf,data/pdfs/W2995524996.pdf
793,W3088567733,Neuroimaging advances regarding subjective cognitive decline in preclinical Alzheimer’s disease,2020,Molecular Neurodegeneration,https://molecularneurodegeneration.biomedcentral.com/track/pdf/10.1186/s13024-020-00395-3,data/pdfs/W3088567733.pdf
128,W4291002587,An MRI-based deep learning approach for accurate detection of Alzheimer’s disease,2022,Alexandria Engineering Journal,https://www.sciencedirect.com/science/article/pii/S1110016822005191/pdf,data/pdfs/W4291002587.pdf
775,W2969795325,Associations between blood pressure across adulthood and late-life brain structure and pathology in the neuroscience substudy of the 1946 British birth cohort (Insight 46): an epidemiological study,2019,The Lancet Neurology,http://www.thelancet.com/article/S1474442219302285/pdf,data/pdfs/W2969795325.pdf
103,W2951110865,In Vivo Characterization and Quantification of Neurofibrillary Tau PET Radioligand 18 F-MK-6240 in Humans from Alzheimer Disease Dementia to Young Controls,2018,Journal of Nuclear Medicine,http://jnm.snmjournals.org/content/60/1/93.full.pdf,data/pdfs/W2951110865.pdf
117,W3005273529,A Deep Siamese Convolution Neural Network for Multi-Class Classification of Alzheimer Disease,2020,Brain Sciences,https://www.mdpi.com/2076-3425/10/2/84/pdf?version=1580985275,data/pdfs/W3005273529.pdf
31,W4392959526,"Glymphatic system dysfunction predicts amyloid deposition, neurodegeneration, and clinical progression in Alzheimer's disease",2024,Alzheimer s & Dementia,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/alz.13789,data/pdfs/W4392959526.pdf
126,W4304014880,Magnetic Resonance Images Implicate That Glymphatic Alterations Mediate Cognitive Dysfunction in Alzheimer Disease,2022,Annals of Neurology,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ana.26516,data/pdfs/W4304014880.pdf
495,W3157331556,Diagnostic power of resting‐state fMRI for detection of network connectivity in Alzheimer's disease and mild cognitive impairment: A systematic review,2021,Human Brain Mapping,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/hbm.25369,data/pdfs/W3157331556.pdf
493,W2945363574,Differentiation of mild cognitive impairment using an entorhinal cortex-based test of virtual reality navigation,2019,Brain,https://academic.oup.com/brain/article-pdf/142/6/1751/28706714/awz116.pdf,data/pdfs/W2945363574.pdf
287,W3010770988,Optimal Feature Selection-Based Medical Image Classification Using Deep Learning Model in Internet of Medical Things,2020,IEEE Access,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09039644.pdf,data/pdfs/W3010770988.pdf
755,W2805773775,Classification of Alzheimer’s Disease by Combination of Convolutional and Recurrent Neural Networks Using FDG-PET Images,2018,Frontiers in Neuroinformatics,https://www.frontiersin.org/articles/10.3389/fninf.2018.00035/pdf,data/pdfs/W2805773775.pdf
323,W3134680770,Machine Learning and Novel Biomarkers for the Diagnosis of Alzheimer’s Disease,2021,International Journal of Molecular Sciences,https://www.mdpi.com/1422-0067/22/5/2761/pdf?version=1615342599,data/pdfs/W3134680770.pdf
124,W2896917224,Association of Chronic Low-grade Inflammation With Risk of Alzheimer Disease in ApoE4 Carriers,2018,JAMA Network Open,https://jamanetwork.com/journals/jamanetworkopen/articlepdf/2707427/tao_2018_oi_180167.pdf,data/pdfs/W2896917224.pdf
112,W3021135759,Diagnostic Performance of RO948 F 18 Tau Positron Emission Tomography in the Differentiation of Alzheimer Disease From Other Neurodegenerative Disorders,2020,JAMA Neurology,https://jamanetwork.com/journals/jamaneurology/articlepdf/2765841/jamaneurology_leuzy_2020_oi_200021_1596744478.06984.pdf,data/pdfs/W3021135759.pdf
812,W2950613646,"Hippocampal volume across age: Nomograms derived from over 19,700 people in UK Biobank",2019,NeuroImage Clinical,https://www.sciencedirect.com/science/article/pii/S2213158219302542/pdf,data/pdfs/W2950613646.pdf
698,W4392168796,A Comprehensive Review on Synergy of Multi-Modal Data and AI Technologies in Medical Diagnosis,2024,Bioengineering,https://www.mdpi.com/2306-5354/11/3/219/pdf?version=1708858254,data/pdfs/W4392168796.pdf
530,W4389143955,"Cerebral Small Vessel Disease, Hypertension, and Vascular Contributions to Cognitive Impairment and Dementia",2023,Hypertension,https://www.ahajournals.org/doi/pdf/10.1161/HYPERTENSIONAHA.123.19943,data/pdfs/W4389143955.pdf
127,W4296286739,Evaluating the Safety and Efficacy of Crenezumab vs Placebo in Adults With Early Alzheimer Disease,2022,JAMA Neurology,https://jamanetwork.com/journals/jamaneurology/articlepdf/2796551/jamaneurology_ostrowitzki_2022_oi_220054_1667929377.75124.pdf,data/pdfs/W4296286739.pdf
187,W3080123676,Automated segmentation of the hypothalamus and associated subunits in brain MRI,2020,NeuroImage,https://www.sciencedirect.com/science/article/pii/S1053811920307734/pdf,data/pdfs/W3080123676.pdf
688,W2898477488,Interpretable classification of Alzheimer’s disease pathologies with a convolutional neural network pipeline,2019,Nature Communications,https://www.nature.com/articles/s41467-019-10212-1.pdf,data/pdfs/W2898477488.pdf
158,W2791523793,Extravascular CD3+ T Cells in Brains of Alzheimer Disease Patients Correlate with Tau but Not with Amyloid Pathology: An Immunohistochemical Study,2018,Neurodegenerative Diseases,https://www.karger.com/Article/Pdf/486200,data/pdfs/W2791523793.pdf
171,W3034151505,MRI Segmentation and Classification of Human Brain Using Deep Learning for Diagnosis of Alzheimer’s Disease: A Survey,2020,Sensors,https://www.mdpi.com/1424-8220/20/11/3243/pdf,data/pdfs/W3034151505.pdf
794,W3018148317,Imaging biomarkers in neurodegeneration: current and future practices,2020,Alzheimer s Research & Therapy,https://alzres.biomedcentral.com/track/pdf/10.1186/s13195-020-00612-7,data/pdfs/W3018148317.pdf
257,W3092100795,A Survey on Deep Learning for Neuroimaging-Based Brain Disorder Analysis,2020,Frontiers in Neuroscience,https://www.frontiersin.org/articles/10.3389/fnins.2020.00779/pdf,data/pdfs/W3092100795.pdf
269,W3019196002,Alzheimer’s Diseases Detection by Using Deep Learning Algorithms: A Mini-Review,2020,IEEE Access,https://ieeexplore.ieee.org/ielx7/6287639/8948470/09075205.pdf,data/pdfs/W3019196002.pdf
436,W4318767763,SynthSR: A public AI tool to turn heterogeneous clinical brain scans into high-resolution T1-weighted images for 3D morphometry,2023,Science Advances,https://www.science.org/doi/pdf/10.1126/sciadv.add3607?download=true,data/pdfs/W4318767763.pdf
552,W3131390313,A 3D densely connected convolution neural network with connection-wise attention mechanism for Alzheimer's disease classification,2021,Magnetic Resonance Imaging,https://www.sciencedirect.com/science/article/pii/S0730725X21000138/pdf,data/pdfs/W3131390313.pdf
491,W3082308014,Mild Cognitive Impairment: the Manchester consensus,2020,Age and Ageing,https://academic.oup.com/ageing/article-pdf/50/1/72/35558362/afaa228.pdf,data/pdfs/W3082308014.pdf
170,W3023079795,"Genome-wide association study of MRI markers of cerebral small vessel disease in 42,310 participants",2020,Nature Communications,https://www.nature.com/articles/s41467-020-15932-3.pdf,data/pdfs/W3023079795.pdf
326,W2974138729,Machine learning for comprehensive forecasting of Alzheimer’s Disease progression,2019,Scientific Reports,https://www.nature.com/articles/s41598-019-49656-2.pdf,data/pdfs/W2974138729.pdf
223,W3009532950,Structural magnetic resonance imaging for the early diagnosis of dementia due to Alzheimer's disease in people with mild cognitive impairment,2020,Cochrane Database of Systematic Reviews,https://www.cochranelibrary.com/cdsr/doi/10.1002/14651858.CD009628.pub2/pdf/full,data/pdfs/W3009532950.pdf
268,W4229455411,Deep learning-based brain age prediction in normal aging and dementia,2022,Nature Aging,https://pmc.ncbi.nlm.nih.gov/articles/PMC10154042/pdf/nihms-1883781.pdf,data/pdfs/W4229455411.pdf
939,W2919311607,Lifespan Changes of the Human Brain In Alzheimer’s Disease,2019,Scientific Reports,https://www.nature.com/articles/s41598-019-39809-8.pdf,data/pdfs/W2919311607.pdf
565,W2996482231,"Predicting clinical decline and conversion to Alzheimer’s disease or dementia using novel Elecsys Aβ(1–42), pTau and tTau CSF immunoassays",2019,Scientific Reports,https://www.nature.com/articles/s41598-019-54204-z.pdf,data/pdfs/W2996482231.pdf
202,W3157328277,MADGAN: unsupervised medical anomaly detection GAN using multiple adjacent brain MRI slice reconstruction,2021,BMC Bioinformatics,https://bmcbioinformatics.biomedcentral.com/counter/pdf/10.1186/s12859-020-03936-1,data/pdfs/W3157328277.pdf
284,W3042895962,Deep representation learning of electronic health records to unlock patient stratification at scale,2020,npj Digital Medicine,https://www.nature.com/articles/s41746-020-0301-z.pdf,data/pdfs/W3042895962.pdf
824,W3165570809,Restoring miR-132 expression rescues adult hippocampal neurogenesis and memory deficits in Alzheimer’s disease,2021,Cell stem cell,http://www.cell.com/article/S1934590921002198/pdf,data/pdfs/W3165570809.pdf
288,W4320713070,AlzheimerNet: An Effective Deep Learning Based Proposition for Alzheimer’s Disease Stages Classification From Functional Brain Changes in Magnetic Resonance Images,2023,IEEE Access,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10043854.pdf,data/pdfs/W4320713070.pdf
261,W3013699712,Deep ensemble learning for Alzheimer's disease classification,2020,Journal of Biomedical Informatics,https://www.sciencedirect.com/science/article/pii/S1532046420300393/pdf,data/pdfs/W3013699712.pdf
613,W3033804370,ATN classification and clinical progression in subjective cognitive decline,2020,Neurology,https://n.neurology.org/content/neurology/95/1/e46.full.pdf,data/pdfs/W3033804370.pdf
176,W4306404621,Generalizable deep learning model for early Alzheimer’s disease detection from structural MRIs,2022,Scientific Reports,https://www.nature.com/articles/s41598-022-20674-x.pdf,data/pdfs/W4306404621.pdf
190,W4384080511,DICE-Net: A Novel Convolution-Transformer Architecture for Alzheimer Detection in EEG Signals,2023,IEEE Access,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10179900.pdf,data/pdfs/W4384080511.pdf
514,W2802979508,"The Aerobic and Cognitive Exercise Study (ACES) for Community-Dwelling Older Adults With or At-Risk for Mild Cognitive Impairment (MCI): Neuropsychological, Neurobiological and Neuroimaging Outcomes of a Randomized Clinical Trial",2018,Frontiers in Aging Neuroscience,https://www.frontiersin.org/articles/10.3389/fnagi.2018.00076/pdf,data/pdfs/W2802979508.pdf
65,W4302028668,A deep learning based convolutional neural network model with VGG16 feature extractor for the detection of Alzheimer Disease using MRI scans,2022,Measurement Sensors,https://www.sciencedirect.com/science/article/pii/S2665917422001404/pdf,data/pdfs/W4302028668.pdf
508,W2942247151,Mind-body exercise improves cognitive function and modulates the function and structure of the hippocampus and anterior cingulate cortex in patients with mild cognitive impairment,2019,NeuroImage Clinical,https://www.sciencedirect.com/science/article/pii/S2213158219301846/pdf,data/pdfs/W2942247151.pdf
226,W2913321668,"Tau PET in autosomal dominant Alzheimer’s disease: relationship with cognition, dementia and other biomarkers",2019,Brain,https://academic.oup.com/brain/article-pdf/142/4/1063/28229455/awz019.pdf,data/pdfs/W2913321668.pdf
191,W2904195085,Gradual Disturbances of the Amplitude of Low-Frequency Fluctuations (ALFF) and Fractional ALFF in Alzheimer Spectrum,2018,Frontiers in Neuroscience,https://www.frontiersin.org/articles/10.3389/fnins.2018.00975/pdf,data/pdfs/W2904195085.pdf
336,W4318678031,Machine Learning for Dementia Prediction: A Systematic Review and Future Research Directions,2023,Journal of Medical Systems,https://link.springer.com/content/pdf/10.1007/s10916-023-01906-7.pdf,data/pdfs/W4318678031.pdf
331,W4289545164,"Early diagnosis of Alzheimer’s disease using machine learning: a multi-diagnostic, generalizable approach",2022,Alzheimer s Research & Therapy,https://alzres.biomedcentral.com/counter/pdf/10.1186/s13195-022-01047-y,data/pdfs/W4289545164.pdf
474,W3215941013,Dysfunction of the blood–brain barrier in Alzheimer's disease: Evidence from human studies,2021,Neuropathology and Applied Neurobiology,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nan.12782,data/pdfs/W3215941013.pdf
948,W4386050192,The use of neuroimaging techniques in the early and differential diagnosis of dementia,2023,Molecular Psychiatry,https://www.nature.com/articles/s41380-023-02215-8.pdf,data/pdfs/W4386050192.pdf
260,W2969412643,Deep Learning and Neurology: A Systematic Review,2019,Neurology and Therapy,https://link.springer.com/content/pdf/10.1007/s40120-019-00153-8.pdf,data/pdfs/W2969412643.pdf
